Intervalo, P(x), Oi, Ei, Error
0.0928955078125 - 2.792724609375, 0.07002259815221917, 13.0, 7.002259815221917, 5.137325416846415
2.792724609375 - 5.4925537109375, 0.11025683644025835, 9.0, 11.025683644025836, 0.37216687492182643
5.4925537109375 - 8.1923828125, 0.14645716600327074, 10.0, 14.645716600327074, 1.4736515337236928
8.1923828125 - 10.8922119140625, 0.164118953760795, 22.0, 16.4118953760795, 1.9026999973077585
10.8922119140625 - 13.592041015625, 0.15515006923620378, 15.0, 15.515006923620378, 0.017095199034241542
13.592041015625 - 16.2918701171875, 0.12373406701208634, 8.0, 12.373406701208634, 1.5457898245847108
16.2918701171875 - 18.99169921875, 0.08324660117994254, 12.0, 8.324660117994254, 1.6226636351270831
18.99169921875 - 21.6915283203125, 0.04724723502947459, 6.0, 4.724723502947459, 0.3442169987132654
21.6915283203125 - 24.391357421875, 0.022620840153149913, 2.0, 2.2620840153149913, 0.03036493367115893
24.391357421875 - 27.0911865234375, 0.07714563303259958, 3.0, 7.714563303259958, 2.881187990388632
